# step time temp etotal ke pe enthalpy density vol press
0 0 216.00851253232755766 -64119.786805455187277 1220.1532538544249746 -65339.940059309614298 -73634.122289240753162 0.45256861535284537146 49708.227095228081453 -13124.244054241513368
5 0.002500000000000000052 346.08285957544194389 -64137.81277871504426 1954.895768985134282 -66092.708547700181953 -60964.893133420293452 0.45257542624279939458 49707.479027072091412 4376.8478156321853021
10 0.0050000000000000001041 280.88208181832351329 -64122.435847190063214 1586.6003708013188316 -65709.03621799137909 -50583.301430012579658 0.45257641256949177055 49707.370696606754791 18676.445252437839372
15 0.0074999999999999997224 310.79663721641139773 -64131.364710075336916 1755.5767767710733551 -65886.941486846408225 -67525.120444862710428 0.45255704520823747394 49709.497943581416621 -4681.2875055717058785
20 0.010000000000000000208 254.47407011602081184 -64124.599844699609093 1437.431150437523911 -65562.030995137130958 -71790.86126909282757 0.4525416868815523852 49711.184980888479913 -10574.348510267394886
25 0.012500000000000000694 312.90577117050241895 -64130.095388485839067 1767.4905047382242174 -65897.58589322406624 -55052.996417458678479 0.45253710896261167829 49711.687865117819456 12520.240530360193588
30 0.014999999999999999445 330.20226231507905368 -64133.166735487953702 1865.1920707686876995 -65998.358806256641401 -55269.220146123043378 0.45251846994442024297 49713.735465637990274 12225.731230708033763
35 0.017500000000000001665 258.85783111990537009 -64124.575481090294488 1462.1934164718745706 -65586.768897562171333 -71657.80217882085708 0.45248596485558112423 49717.306735275822575 -10389.569516495319476
40 0.020000000000000000416 301.2066026279868538 -64131.966276558378013 1701.4061713145338217 -65833.372447872912744 -67314.363119958361494 0.45246403613782798514 49719.716289847609005 -4388.8405593637198763
45 0.022499999999999999167 288.24323902449361867 -64124.792595807601174 1628.1808613660055016 -65752.973457173604402 -52524.245768673317798 0.45244612229518144098 49721.684858324952074 15997.670057568393531
50 0.025000000000000001388 337.13718720048041178 -64133.88238676047331 1904.3649305090746111 -66038.247317269546329 -61712.142091886918934 0.45241084275268694803 49725.562215205223765 3339.4271711288083679
55 0.027500000000000000139 262.56774320729925876 -64124.942233406050946 1483.1493559016691961 -65608.091589307718095 -72243.071856954455143 0.45237110213074388509 49729.930586128110008 -11193.40555055056393
60 0.02999999999999999889 304.96578603479525782 -64130.92231105913379 1722.6404264458744819 -65853.562737505009864 -61714.286633801180869 0.45234299094695717969 49733.021088791763759 3331.8884393969424309
65 0.03250000000000000111 306.89802581630476652 -64129.008665375207784 1733.5549437905692685 -65862.563609165779781 -54160.65290992968221 0.45231081918557031196 49736.55847684363107 13742.695016287832914
70 0.035000000000000003331 308.01099408508855504 -64130.551477486078511 1739.8416953573162118 -65870.393172843396314 -66563.428137162103667 0.45226350975020213063 49741.761214734193345 -3353.6909906411992779
75 0.037499999999999998612 276.99012764734345637 -64128.310514111995872 1564.6161420785599603 -65692.926656190553331 -70015.626098195643863 0.45221914536493640346 49746.641067082207883 -8114.797090743399167
80 0.040000000000000000833 292.25923090723972564 -64129.012921878740599 1650.8657338543166588 -65779.878655733060441 -58081.874584992518066 0.45218313178408980901 49750.603078386891866 8334.4254217926718411
85 0.042500000000000003053 313.02249947895916193 -64130.846387225101353 1768.1498603520872166 -65898.996247577189934 -58261.589746161051153 0.45213795264114192696 49755.574325757501356 8088.4530137490037305
90 0.044999999999999998335 302.55635094527445972 -64129.81295675005822 1709.0304069611570412 -65838.843363711217535 -68902.990014962415444 0.45208358808470017198 49761.557599205196311 -6577.1491325104998396
95 0.047500000000000000555 290.52201274947890397 -64128.496123072094633 1641.05282248801268 -65769.548945560105494 -66018.96746756102948 0.45203578078391570827 49766.820381163568527 -2604.6796379940774386
100 0.050000000000000002776 312.50333158284507817 -64130.031924403752782 1765.2172703799881219 -65895.249194783740677 -57443.343104212952312 0.45199056325478692564 49771.799097166018328 9211.9566163082381536
105 0.052499999999999998057 323.21965744498891127 -64130.799702308351698 1825.7498841958545199 -65956.549586504203035 -62072.284741572955681 0.45193513628949877337 49777.903291240276303 2835.5776113264369087
110 0.055000000000000000278 308.24938727369232083 -64129.832032791455276 1741.1882914768930277 -65871.020324268349214 -68753.351180221652612 0.4518762064570797099 49784.394899909217202 -6368.0070893463434913
115 0.057500000000000002498 305.16662184873234764 -64129.574577511913958 1723.7748746627205492 -65853.349452174632461 -63280.564563105093839 0.45182380835484975412 49790.16840667265933 1169.2121732048817648
120 0.05999999999999999778 313.28089493601225968 -64130.192385825699603 1769.6094419862015457 -65899.801827811897965 -58883.678028147282021 0.45177004546624549564 49796.093685040490527 7224.3653499436022685
125 0.0625 320.41509788479692133 -64131.54690615185973 1809.9079507790654588 -65941.454856930926326 -64653.198317088201293 0.45170825382990370533 49802.905564358923584 -718.20730186506114023
130 0.06500000000000000222 301.89205139625488528 -64129.132983856317878 1705.2780212483535252 -65834.411005104673677 -67102.955467614694498 0.45164682520083865302 49809.679273464294965 -4093.7885402387305476
135 0.067500000000000004441 303.7506690825079545 -64130.505040190459113 1715.7766742457147302 -65846.281714436176117 -61837.468841274749138 0.45158967207800526644 49815.983179186288908 3156.2130798809034786
140 0.070000000000000006661 302.14706425798942746 -64130.311523355157988 1706.7184958360091969 -65837.030019191166502 -60575.028158729313873 0.45152892926695498144 49822.684771614600322 4892.9548117637659743
145 0.072499999999999995004 311.49781441066522802 -64131.594550394096586 1759.5374708431152158 -65891.132021237208392 -65574.22671698119666 0.45146264909053696046 49829.999344244104577 -1985.1294881126525524
150 0.074999999999999997224 297.61662969862442196 -64130.003427658622968 1681.1277244160335158 -65811.131152074653073 -65779.499901288931142 0.45139821989876488528 49837.111704112234293 -2269.4605461172272953
155 0.077499999999999999445 298.05538391994321046 -64130.683209524679114 1683.6060868866068176 -65814.289296411283431 -61682.507753373531159 0.45133616893344813414 49843.963450333118089 3367.8603997344075651
160 0.080000000000000001665 302.59472981182705098 -64131.349110821116483 1709.2471951717438969 -65840.596305992861744 -62209.914263296581339 0.45127036423651345487 49851.231747054582229 2642.858308677763489
165 0.082500000000000003886 301.63600550484051155 -64130.84339662851562 1703.8317114530459548 -65834.675108081559301 -65699.635535390989389 0.45120148587160352482 49858.841809164303413 -2157.482735582332225
170 0.085000000000000006106 296.78477058711882819 -64130.449503008399915 1676.4288558864884635 -65806.878358894886333 -64846.375297600665363 0.45113481101509256277 49866.210628954446292 -984.43207080795377806
175 0.087500000000000008327 298.80494855475711802 -64130.948742813590798 1687.8401039511218187 -65818.788846764713526 -61994.715176873905875 0.45106916395285934218 49873.467986570751236 2936.995472737602995
180 0.089999999999999996669 303.32122979103462512 -64131.454099422393483 1713.3509284143058267 -65844.805027836700901 -63051.306544447368651 0.45100022020504604292 49881.092071095314168 1484.8112327853500574
185 0.09249999999999999889 303.92584216729909485 -64131.230667461240955 1716.7661630713628256 -65847.996830532603781 -65596.769151961096213 0.45092953340298064235 49888.911330249684397 -2014.2682677207708366
190 0.09500000000000000111 301.07903726093326213 -64130.967715847968066 1700.6856011116985883 -65831.653316959665972 -64479.345967631292297 0.45086097725742396713 49896.497241737575678 -478.7459213724489473
195 0.097500000000000003331 295.24793043697394523 -64130.96873292834789 1667.7478067562010438 -65798.716539684552117 -62305.373795992338273 0.45079291954858580205 49904.03028215161612 2508.3775909477553796
200 0.10000000000000000555 299.90582366665319114 -64131.823792095507088 1694.0585456880710353 -65825.882337783579715 -63698.081412122650363 0.45072210316153699106 49911.871084941114532 595.87081923762536917
205 0.10250000000000000777 296.56157721093609325 -64130.739446804407635 1675.1681179600266205 -65805.907564764434937 -65499.151036939045298 0.45065056252368385081 49919.794579086694284 -1879.6113764953431655
210 0.10499999999999999611 305.41066706803042052 -64131.718494375963928 1725.1533970409514041 -65856.871891416914877 -64059.220121689977532 0.45058106287620236508 49927.494432479223178 99.566352400886501073
215 0.10749999999999999833 300.92917467795905395 -64130.835586850917025 1699.8390820736137812 -65830.674668924533762 -62444.164482413638325 0.45051140861470073684 49935.213799151897547 2316.0482444861004296
220 0.11000000000000000056 305.31246344524407732 -64131.973232416377869 1724.5986806157588944 -65856.571913032137672 -64233.856422482684138 0.45043924938917806466 49943.21329377618531 -139.87824165211941363
225 0.11250000000000000278 298.3725169289484711 -64130.798478725089808 1685.3974555151210097 -65816.1959342402115 -65434.674527467279404 0.45036719392115431848 49951.203843836367014 -1789.8410276201282159
230 0.115000000000000005 303.69081337948756527 -64131.588859260780737 1715.4385712240055 -65847.027430484784418 -63742.420424532931065 0.45029711670728250761 49958.977469438315893 534.13148324829774083
235 0.11750000000000000722 301.83292077685518962 -64131.669529898135806 1704.9440139593946242 -65836.613543857529294 -63068.542615491278411 0.45022652163240789447 49966.810987868833763 1458.906942898900752
240 0.11999999999999999556 295.38606462233894945 -64130.877125115985109 1668.528076356531983 -65799.405201472516637 -64885.567421595238557 0.45015440915692567225 49974.815420034756244 -1035.4799114418881345
245 0.12249999999999999778 301.77794375252449299 -64131.634085012701689 1704.633468813104173 -65836.267553825804498 -65195.409927086766402 0.45008349088451032882 49982.689798112696735 -1459.3336953439288664
250 0.125 298.14305234048720195 -64130.586971657125105 1684.1012937992095431 -65814.688265456337831 -63399.79975397879025 0.45001421470499430866 49990.384243483531463 1002.3711955163682887
255 0.12750000000000000222 304.52884351993083101 -64131.946991816155787 1720.1722976438702517 -65852.119289460024447 -63609.018985769340361 0.44994398519946476878 49998.186992452596314 717.15289474703058659
260 0.13000000000000000444 298.6194600586255774 -64130.809307564646588 1686.7923471314752533 -65817.601654696118203 -65168.127328316382773 0.44987303523358734836 50006.072260924411239 -1422.372310361666905
265 0.13250000000000000666 304.64068299064075518 -64131.484661525340925 1720.8040379975084306 -65852.28869952284731 -64825.835655147457146 0.44980374027549835381 50013.775995623000199 -951.94866091514927575
270 0.13500000000000000888 302.00949311512897566 -64131.204411066435569 1705.941406657301286 -65837.1458177237364 -63624.974637057668588 0.44973562325592836286 50021.351089038107602 693.93114088028585229
275 0.1375000000000000111 294.60519275539002138 -64130.9781972235578 1664.1172161634249278 -65795.095413386981818 -64354.728170990980288 0.44966694760368736139 50028.990629658830585 -306.66581245051753513
280 0.14000000000000001332 292.50891127053739638 -64131.149300375378516 1652.2760871044256419 -65783.425387479801429 -65273.556065784563543 0.44959876598009790305 50036.577522830644739 -1565.5151704499205607
285 0.14250000000000001554 292.3268383462839779 -64130.422907970380038 1651.2476236037878152 -65781.670531574171036 -64500.006453807029175 0.44953245120256557499 50043.958890956637333 -506.38995214822006119
290 0.14499999999999999001 304.33829369695820333 -64131.73010835533205 1719.0959512360561803 -65850.826059591388912 -64025.389030155703949 0.44946694176853735359 50051.252756464476988 145.68345006304818412
295 0.14749999999999999223 299.1548113809141114 -64130.463510332068836 1689.8163513718075137 -65820.279861703878851 -64595.432808917794318 0.44940143504348983861 50058.5484466802518 -636.89836835049345609
300 0.14999999999999999445 306.65751576591281946 -64131.047125900091487 1732.1963902913107631 -65863.243516191403614 -64977.633610248318291 0.44933681611933112832 50065.747343876137165 -1159.4572431620858879
305 0.15249999999999999667 307.45517377164088657 -64130.311743900645524 1736.7020692561916348 -65867.013813156838296 -64499.885364110516093 0.44927365521679091254 50072.785810859168123 -506.08483137575194633
310 0.15499999999999999889 313.87938917147897655 -64131.083803201290721 1772.9901174987396644 -65904.073920700029703 -64523.134819097431318 0.4492113322778097384 50079.732837682568061 -536.7903388436361638
315 0.15750000000000000111 307.13422683437966043 -64130.709956963335571 1734.8891571388726334 -65865.599114102209569 -64814.035121675136907 0.44914981796106467904 50086.591619374317816 -935.47039155641061825
320 0.16000000000000000333 301.43988019405003342 -64130.381315066842944 1702.7238711493523624 -65833.10518621619849 -64829.910864756930096 0.4490895676204783582 50093.311290507772355 -957.52569020132079913
325 0.16250000000000000555 303.02869023405753524 -64130.447455084104149 1711.6984792207892951 -65842.145934304891853 -64725.512876786633569 0.44903064536725206812 50099.884585233325197 -814.42688192290461302
330 0.16500000000000000777 303.19602281335153293 -64130.509976717185054 1712.6436798923177776 -65843.153656609501923 -64664.251503803898231 0.44897288049877137617 50106.330438356453669 -730.40292936717821703
335 0.16750000000000000999 296.75793900721959062 -64130.385278843721608 1676.2772940839636249 -65806.662572927685687 -64633.953886552160839 0.44891615528433576054 50112.661893139804306 -689.02548717036120252
340 0.17000000000000001221 295.70439422223012116 -64130.143500146521546 1670.3262040902584431 -65800.469704236777034 -64767.626388489930832 0.44886043016314880472 50118.883279498099 -872.15014348115300891
345 0.17250000000000001443 301.31645582529614558 -64130.334477353855618 1702.026691934632936 -65832.361169288487872 -64936.126230949208548 0.44880594179069560612 50124.968083919753553 -1102.2822652295865282
350 0.17500000000000001665 300.48160662609171823 -64130.092080499918666 1697.3109334909254358 -65827.403013990842737 -64777.176266133828904 0.44875293377525760086 50130.888992468848301 -885.0738112214372677
355 0.17749999999999999112 299.84226787560879757 -64130.053384397346235 1693.699542219480918 -65823.752926616827608 -64729.852450114311068 0.44870118810896042483 50136.670248061054735 -820.30320424567082682
360 0.17999999999999999334 298.67834115135354978 -64130.047804314919631 1687.1249449353317686 -65817.172749250254128 -65044.143761131796055 0.44865066343847020969 50142.316375327078276 -1250.0042967237689027
365 0.18249999999999999556 296.01237359930786397 -64130.055734860317898 1672.0658671926801162 -65802.121602052997332 -65006.186022086323646 0.44860181467605009242 50147.776429253928654 -1197.9567072795903186
370 0.18499999999999999778 294.87151078885688094 -64129.772160320237163 1665.6215495403146178 -65795.393709860552917 -64627.744612565984426 0.44855456501870988317 50153.058875220245682 -680.81952586594502463
375 0.1875 297.75152824626991332 -64129.883102936808427 1681.8897170797497438 -65811.772820016558398 -64786.728580686365603 0.44850837181518576902 50158.224287064404052 -897.93556190186336607
380 0.19000000000000000222 296.89148950476862865 -64129.444225291976181 1677.0316721046629027 -65806.475897396638175 -65155.669938002210984 0.44846346703878886553 50163.246644539693079 -1402.7535149670270584
385 0.19250000000000000444 298.39919375131438528 -64129.628547858541424 1685.5481431488196904 -65815.176691007363843 -65013.278178275104437 0.44842042294536060831 50168.061838863468438 -1207.7495592237917208
390 0.19500000000000000666 297.66235123814698227 -64129.698009879844903 1681.3859887064804752 -65811.083998586327652 -64713.555875799400383 0.44837902539240581667 50172.693712521693669 -797.92822527675411948
395 0.19750000000000000888 294.95079201351165921 -64129.789373257903208 1666.0693802442904143 -65795.858753502194304 -65010.017865622117824 0.44833884896575371126 50177.189775161656144 -1202.854779825290052
400 0.2000000000000000111 290.98839257604760178 -64129.494807377683173 1643.6872319205331223 -65773.182039298219024 -65229.586971961827658 0.44830032013678527969 50181.502215452514065 -1503.1749299889643225
405 0.20250000000000001332 291.26088243185438387 -64129.191330020294117 1645.2264276693822467 -65774.417757689676364 -64815.332668355018541 0.44826374967064314125 50185.596146601492364 -937.47265446754556706
410 0.20500000000000001554 293.51974664802111192 -64129.371562912630907 1657.985927242153366 -65787.357490154783591 -64620.173451249866048 0.44822852558919196175 50189.539986463132664 -670.52831269957709992
