    #index           Reference          Calculated         Polynomials    Electrostatics (Permanent + Induced)    
        71     -4.07100000e+00     -8.98124737e+00     -6.23211713e+00                         -2.74913025e+00    
        72     -1.19800000e+00     -8.71689532e+00     -6.80688116e+00                         -1.91001416e+00    
        73     -6.98300000e+00     -6.03970643e+00     -4.42000869e+00                         -1.61969774e+00    
        74     -4.95400000e+00     -4.58624271e+00     -2.31768553e+00                         -2.26855717e+00    
        75     -2.87200000e+00     -5.27455223e+00     -1.64485730e+00                         -3.62969493e+00    
        76      1.84000000e-01     -4.11358872e+00     -1.97498846e+00                         -2.13860025e+00    
        77     -2.09040000e+01     -6.21886124e+00     -3.43734955e+00                         -2.78151169e+00    
        78     -1.79300000e+00     -4.11827641e+00     -7.11872520e-01                         -3.40640389e+00    
        79     -1.38070000e+01     -1.22383470e+01     -9.00057947e+00                         -3.23776756e+00    
        80     -6.03700000e+00     -6.81802811e+00     -5.51427577e+00                         -1.30375234e+00    
        81     -2.90900000e+00     -6.10987390e+00     -2.65402190e+00                         -3.45585200e+00    
        82     -1.82730000e+01     -1.08128392e+01     -9.05529299e+00                         -1.75754618e+00    
        83     -2.55800000e+00     -3.95888627e+00     -2.56386770e+00                         -1.39501857e+00    
        84     -3.19900000e+00     -7.27460911e+00     -5.07845009e+00                         -2.19615902e+00    
        85     -4.45630000e+01     -6.85009891e+00     -4.16571701e+00                         -2.68438191e+00    
        86     -6.14400000e+00     -7.01261081e+00     -4.70412899e+00                         -2.30848182e+00    
        87     -2.68200000e+00     -3.88432071e+00     -1.96737738e+00                         -1.91694333e+00    
        88     -5.52500000e+00     -4.62666555e+00     -2.64087449e+00                         -1.98579106e+00    
        89     -2.69300000e+00     -5.78090111e+00     -3.35282460e+00                         -2.42807651e+00    
        90      1.10000000e-01     -3.46273274e+00     -1.23893586e+00                         -2.22379688e+00    
        91     -1.47800000e+00     -3.27956726e+00     -1.20766315e+00                         -2.07190411e+00    
        92     -7.90100000e+00     -1.09347911e+01     -9.57956811e+00                         -1.35522301e+00    
        93     -7.76000000e-01     -4.20326256e+00     -3.05984865e+00                         -1.14341392e+00    
        94     -7.00900000e+00     -5.32733904e+00     -4.18585295e+00                         -1.14148609e+00    
        95     -9.70000000e-01     -7.90109699e+00     -6.06578299e+00                         -1.83531400e+00    
        96     -3.58070000e+01     -4.73958774e+00     -2.60137020e+00                         -2.13821754e+00    
        97     -1.66570000e+01     -1.14215011e+01     -8.47379411e+00                         -2.94770697e+00    
        98     -1.78320000e+01     -8.47539901e+00     -6.87331257e+00                         -1.60208644e+00    
        99     -1.95900000e+00     -5.99885349e+00     -5.14902445e+00                         -8.49829042e-01    
       100     -1.15600000e+00     -1.31573365e+00      2.72044720e-01                         -1.58777837e+00    
       101     -7.82600000e+00     -1.01537291e+01     -6.90985934e+00                         -3.24386981e+00    
       102     -1.51610000e+01     -6.08903857e+00     -4.10453886e+00                         -1.98449971e+00    
       103     -3.53000000e-01     -2.98076606e+00     -2.31600942e+00                         -6.64756647e-01    
       104     -1.09690000e+01     -1.08117712e+01     -6.95740073e+00                         -3.85437049e+00    
       105     -2.55600000e+00     -9.41709364e+00     -6.72144785e+00                         -2.69564579e+00    
       106     -1.18100000e+00     -4.00799109e+00     -8.01562900e-01                         -3.20642819e+00    
