    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
        59     -3.01700000e+00     -3.72563796e+00      1.50737620e+00     -1.88319300e+00                         -3.34982115e+00    
        60     -1.06570000e+01     -1.08079021e+01      7.78827583e-03     -3.44549620e+00                         -7.37019417e+00    
        61     -7.48200000e+00     -8.19502793e+00     -1.20205871e+00     -2.05976784e+00                         -4.93320138e+00    
        62     -1.12820000e+01     -1.05593956e+01      2.34382079e+00     -3.69780186e+00                         -9.20541453e+00    
        63     -6.44600000e+00     -6.46898078e+00      1.79235348e+00     -2.31725646e+00                         -5.94407780e+00    
        64     -9.21300000e+00     -9.07010196e+00      2.32291180e+00     -3.24059966e+00                         -8.15241410e+00    
        65     -3.77600000e+00     -4.02255363e+00      3.22127123e-01     -1.55159154e+00                         -2.79308922e+00    
        66     -7.65000000e+00     -7.92204375e+00     -4.48199989e-02     -2.08340447e+00                         -5.79381928e+00    
        67     -4.98100000e+00     -5.01814760e+00      1.53881123e+00     -2.25746586e+00                         -4.29949297e+00    
        68      3.28900000e+00      1.46502784e+00      3.94171966e+00     -2.07582325e+00                         -4.00868567e-01    
        69     -2.68200000e+00     -3.71330268e+00      2.67473401e+00     -2.61001039e+00                         -3.77802631e+00    
        70     -7.06300000e+00     -7.29352991e+00      2.86644471e+00     -3.03134508e+00                         -7.12862955e+00    
        71     -4.24200000e+00     -5.85976571e+00      4.10189204e+00     -3.11769282e+00                         -6.84396494e+00    
        72     -4.35600000e+00     -5.11539867e+00      6.39535180e-01     -2.19473994e+00                         -3.56019391e+00    
        73     -8.08000000e+00     -8.77070600e+00      2.44410222e+00     -3.24336627e+00                         -7.97144194e+00    
        74     -1.37190000e+01     -1.47677299e+01     -1.20201310e+00     -3.66518097e+00                         -9.90053583e+00    
        75     -6.56400000e+00     -6.63114250e+00      2.10480361e+00     -2.69936987e+00                         -6.03657625e+00    
        76     -3.68500000e+00     -4.36700776e+00     -1.50744843e-01     -1.61269907e+00                         -2.60356385e+00    
        77     -4.14800000e+00     -4.16073287e+00      7.99715876e-01     -1.68686298e+00                         -3.27358576e+00    
        78     -7.79400000e+00     -9.66460839e+00      4.39534422e+00     -3.75291357e+00                         -1.03070390e+01    
        79     -5.59100000e+00     -5.64931562e+00      9.47712711e-01     -2.15348162e+00                         -4.44354671e+00    
        80      1.44000000e-01     -2.54456975e-01      3.69072394e+00     -2.06313854e+00                         -1.88204238e+00    
        81     -3.24800000e+00     -4.80507093e+00      3.26881242e+00     -2.83170380e+00                         -5.24217955e+00    
