# step time temp etotal ke pe enthalpy density vol press
0 0 300.52575646531926168 -147284.77174707013182 1734.2885378213888998 -149019.06028489151504 -156380.85332787546213 0.66724385571798761063 53563.008380112441955 -11644.302954015796786
5 0.002500000000000000052 428.13333811605934898 -147305.34863369888626 2470.6925279450260859 -149776.04116164392326 -145105.62679562528501 0.66739993415400888921 53550.48211190541042 2816.6215116868174846
10 0.0050000000000000001041 340.88500940717341336 -147293.39905374628142 1967.195662306638269 -149260.5947160529322 -134306.51845939012128 0.6674551361358462831 53546.053210873898934 16630.353961707536655
15 0.0074999999999999997224 394.4278307451454566 -147313.85685935307993 2276.1831594890281849 -149590.04001884211903 -149826.57616200484335 0.66705765926646032327 53577.959474601731927 -3215.7473261819632171
20 0.010000000000000000208 319.90152075707123913 -147308.55230054908316 1846.1031334086135303 -149154.65543395769782 -155373.85197715446702 0.66672523562028485067 53604.672998691785324 -10316.727710256525825
25 0.012500000000000000694 401.93139773475724041 -147331.28665197236114 2319.4851059708112189 -149650.77175794317736 -140596.49638634943403 0.66666511912636117199 53609.50679741044587 8614.0298886968994339
30 0.014999999999999999445 367.32672105245688954 -147343.97270646996913 2119.7867678616307785 -149463.75947433160036 -137774.5986919637071 0.66635768901873060344 53634.240025099345075 12233.916401347671126
35 0.017500000000000001665 344.68467005685113236 -147356.18047633135575 1989.1229273432625178 -149345.30340367462486 -153425.20858235613559 0.66570985229737078548 53686.434280735753418 -7751.3741300918618435
40 0.020000000000000000416 353.51437015885898063 -147364.28316846807138 2040.0777867850013081 -149404.36095525306882 -152606.0589685375744 0.66526044379409754459 53722.70149051991757 -6690.2863859060907998
45 0.022499999999999999167 366.43839197788139472 -147378.51395900672651 2114.6603555701517507 -149493.17431457687053 -138545.18750140466727 0.6649853798669218552 53744.92329824360786 11269.663387818651245
50 0.025000000000000001388 378.39891078666778412 -147401.30172260879772 2183.6826946882606535 -149584.98441729706246 -143167.96392564926646 0.66440511810045288499 53791.861714703947655 5396.2300921397745697
55 0.027500000000000000139 324.69162511081663069 -147401.35733258732944 1873.746098768315278 -149275.10343135564472 -155208.71565266660764 0.6636703588252189645 53851.415480819014192 -9941.0234729220483132
60 0.02999999999999999889 373.17298559236212441 -147412.38009253240307 2153.5246733905346446 -149565.90476592292544 -149467.85100121705909 0.66320629985778756232 53889.096413988838322 -2615.3784655132867556
65 0.03250000000000000111 363.56732300935834701 -147422.92031175366719 2098.0918522179981665 -149521.01216397166718 -139913.16656232916284 0.66281618026989630454 53920.814396607027447 9549.7799393539407902
70 0.035000000000000003331 371.43857176583884439 -147441.18204931667424 2143.5156343831727099 -149584.69768369983649 -148324.23689356612158 0.66217747551995709276 53972.823837503012328 -1121.8547914141740875
75 0.037499999999999998612 328.18747043011040887 -147441.06383029455901 1893.9200916352042441 -149334.98392192975734 -155079.12437938846415 0.66157100613613295526 54022.301315978300408 -9694.6944644598843297
80 0.040000000000000000833 373.71933670616385825 -147455.01726391926059 2156.6775827632177425 -149611.69484668248333 -147188.47187037204276 0.66123953798804324666 54049.381777965245419 338.14623886288768517
85 0.042500000000000003053 358.75502475842978356 -147466.68561136967037 2070.3208092454251528 -149537.00642061510007 -142987.48721881076926 0.66091230026328473546 54076.143266154496814 5679.6124075760526466
90 0.044999999999999998335 353.09621491986808905 -147480.5336199941521 2037.6646763529988675 -149518.19829634713824 -151501.78756115928991 0.66044592345697850089 54114.329373598113307 -5095.341885410552095
95 0.047500000000000000555 334.53946201586728648 -147486.60345910937758 1930.5764712050774961 -149417.17993031445076 -153288.73165206113481 0.66012685633026613186 54140.485109305016522 -7348.3407659592403434
100 0.050000000000000002776 369.76543002168284602 -147502.86827997205546 2133.8601872655308398 -149636.72846723758266 -146098.04190221132012 0.66002426922554791044 54148.90012656176259 1778.922893135420054
105 0.052499999999999998057 362.93641276973926324 -147516.24521767289843 2094.4509649614951741 -149610.69618263439042 -146030.04898186179344 0.65988995566659414127 54159.92155737302528 1881.5780624900228304
