#     index      Reference     Calculated        Error^2    
       103 5.49981747e+00 5.86166464e+00 1.30933377e-01    
       104 4.41981747e+00 4.31916639e+00 1.01306397e-02    
       105 5.85381747e+00 5.48758736e+00 1.34124492e-01    
       106 4.47081747e+00 4.28608616e+00 3.41256565e-02    
       107 6.93981747e+00 7.12714835e+00 3.50928602e-02    
       108 5.52981747e+00 5.33710371e+00 3.71385927e-02    
       109 2.60381747e+00 2.42881856e+00 3.06246168e-02    
       110 2.27681747e+00 2.18997714e+00 7.54124375e-03    
       111 3.56381747e+00 3.48459108e+00 6.27682142e-03    
       112 2.38181747e+00 2.57872345e+00 3.87719653e-02    
       113 4.54681747e+00 4.49844422e+00 2.33997102e-03    
       114 8.45681747e+00 8.26562515e+00 3.65545030e-02    
       115 4.23981747e+00 4.15391224e+00 7.37970844e-03    
       116 2.50081747e+00 2.60447547e+00 1.07449818e-02    
       117 4.18681747e+00 4.16721297e+00 3.84336547e-04    
       118 4.10581747e+00 4.12916659e+00 5.45181438e-04    
       119 2.59881747e+00 2.81336409e+00 4.60302519e-02    
       120 5.49581747e+00 5.50482126e+00 8.10682610e-05    
       121 2.68781747e+00 2.54684133e+00 1.98742722e-02    
       122 5.89881747e+00 5.85965660e+00 1.53357401e-03    
       123 6.17781747e+00 6.73796581e+00 3.13766163e-01    
       124 2.03681747e+00 2.04189161e+00 2.57468461e-05    
       125 8.55817470e-01 7.62086612e-01 8.78547369e-03    
       126 6.59481747e+00 6.67655825e+00 6.68155564e-03    
       127 6.07681747e+00 6.38299085e+00 9.37421388e-02    
       128 2.61281747e+00 2.69239588e+00 6.33272383e-03    
       129 5.83481747e+00 5.81215870e+00 5.13419714e-04    
       130 1.74881747e+00 1.80671718e+00 3.35237641e-03    
       131 3.28481747e+00 3.61030855e+00 1.05944443e-01    
       132 3.73681747e+00 3.83697245e+00 1.00310208e-02    
       133 3.29881747e+00 3.12139468e+00 3.14788474e-02    
       134 5.14881747e+00 4.85929421e+00 8.38237180e-02    
       135 4.67281747e+00 5.12183675e+00 2.01618310e-01    
       136 3.67381747e+00 3.86553596e+00 3.67559783e-02    
       137 2.80081747e+00 2.87044139e+00 4.84749077e-03    
       138 5.34881747e+00 4.72271990e+00 3.91998164e-01    
       139 6.30581747e+00 5.93422980e+00 1.38077397e-01    
       140 1.50381747e+00 1.68049091e+00 3.12135048e-02    
       141 2.66281747e+00 2.51934165e+00 2.05853100e-02    
       142 4.96481747e+00 5.14284873e+00 3.16951289e-02    
       143 2.87181747e+00 2.86161315e+00 1.04128103e-04    
       144 7.59481747e+00 7.07306077e+00 2.72230055e-01    
       145 2.18381747e+00 2.27227851e+00 7.82535484e-03    
       146 3.65481747e+00 3.92745386e+00 7.43306023e-02    
       147 2.25681747e+00 2.49301472e+00 5.57891415e-02    
       148 3.38381747e+00 2.94747653e+00 1.90393413e-01    
       149 3.13681747e+00 3.30933577e+00 2.97625623e-02    
       150 2.49481747e+00 2.73748772e+00 5.88888524e-02    
       151 4.11481747e+00 4.00286014e+00 1.25344428e-02    
       152 3.84781747e+00 3.78334111e+00 4.15720099e-03    
       153 4.91481747e+00 4.54525017e+00 1.36579991e-01    
       154 3.37281747e+00 3.52269728e+00 2.24639563e-02    
       155 2.88481747e+00 2.85947916e+00 6.42029960e-04    
       156 2.41181747e+00 2.27150930e+00 1.96863832e-02    
       157 3.14981747e+00 3.08450349e+00 4.26591547e-03    
       158 5.20981747e+00 5.09223855e+00 1.38248025e-02    
       159 4.06681747e+00 3.99327219e+00 5.40890881e-03    
       160 1.42158175e+01 1.42509963e+01 1.23755206e-03    
       161 4.37681747e+00 4.20660506e+00 2.89722636e-02    
       162 4.20481747e+00 4.10841571e+00 9.29329984e-03    
       163 3.75081747e+00 4.04771234e+00 8.81465648e-02    
       164 3.58581747e+00 4.15529894e+00 3.24309144e-01    
       165 4.01281747e+00 3.83720449e+00 3.08399196e-02    
       166 3.43781747e+00 3.10693046e+00 1.09486214e-01    
       167 5.35381747e+00 5.00492605e+00 1.21725226e-01    
       168 6.03081747e+00 5.88310869e+00 2.18178841e-02    
       169 7.48881747e+00 7.47607566e+00 1.62353789e-04    
       170 3.51181747e+00 3.19072778e+00 1.03098588e-01    
       171 2.86681747e+00 2.92789470e+00 3.73042842e-03    
       172 3.97481747e+00 4.11918886e+00 2.08430982e-02    
       173 8.09981747e+00 7.89629134e+00 4.14228871e-02    
       174 3.48081747e+00 3.46031339e+00 4.20417258e-04    
       175 2.81581747e+00 2.78286078e+00 1.08614322e-03    
       176 4.13081747e+00 4.37859951e+00 6.13959413e-02    
       177 6.11181747e+00 5.88795650e+00 5.01137359e-02    
       178 4.29181747e+00 4.15846958e+00 1.77816597e-02    
       179 4.99081747e+00 4.99192034e+00 1.21632188e-06    
       180 4.29681747e+00 4.50333602e+00 4.26499108e-02    
       181 4.19881747e+00 4.75736932e+00 3.11980169e-01    
       182 3.88081747e+00 3.86678713e+00 1.96850367e-04    
       183 3.08881747e+00 2.90021879e+00 3.55694618e-02    
       184 2.35481747e+00 2.12399818e+00 5.32775458e-02    
       185 3.98281747e+00 4.01234128e+00 8.71655160e-04    
       186 6.79881747e+00 6.54793237e+00 6.29433317e-02    
       187 7.86881747e+00 8.01973811e+00 2.27770406e-02    
       188 3.67181747e+00 3.52016604e+00 2.29981555e-02    
       189 7.98181747e+00 7.62223993e+00 1.29296006e-01    
       190 4.55181747e+00 4.54581849e+00 3.59878053e-05    
       191 6.50681747e+00 7.05413203e+00 2.99553229e-01    
       192 4.18481747e+00 4.23185173e+00 2.21222165e-03    
       193 6.95581747e+00 7.11276024e+00 2.46310319e-02    
       194 4.25081747e+00 4.10724327e+00 2.06135510e-02    
       195 3.38381747e+00 3.46472887e+00 6.54665420e-03    
       196 3.38681747e+00 3.68128590e+00 8.67116582e-02    
       197 2.54181747e+00 2.51563446e+00 6.85549880e-04    
       198 3.65781747e+00 3.60687332e+00 2.59530683e-03    
       199 7.57181747e+00 7.17546021e+00 1.57099080e-01    
       200 2.28181747e+00 2.19676736e+00 7.23352153e-03    
       201 5.04281747e+00 5.02584443e+00 2.88083924e-04    
       202 3.01181747e+00 3.09713104e+00 7.27840458e-03    
       203 6.35381747e+00 6.49952151e+00 2.12296675e-02    
       204 2.48481747e+00 2.56722736e+00 6.79138948e-03    
       205 7.31081747e+00 7.04913473e+00 6.84778578e-02    
       206 2.59381747e+00 2.48741934e+00 1.13205623e-02    
       207 3.12281747e+00 3.33014189e+00 4.29834135e-02    
       208 6.02281747e+00 5.77989481e+00 5.90114208e-02    
       209 6.04981747e+00 5.82371437e+00 5.11226113e-02    
       210 4.75381747e+00 4.43803946e+00 9.97157524e-02    
